# Metrics for node-exporter
# Job: node-exporter
# Category: monitoring
# Exported at: 2025-07-02T11:09:54.004769
# Total metrics: 2478
# Unique metric types: 317

## go_gc_duration_seconds
node_cpu_guest_seconds_total{cpu="8",instance="node-exporter:9100",job="node-exporter",mode="user"} 0
node_cpu_guest_seconds_total{cpu="9",instance="node-exporter:9100",job="node-exporter",mode="nice"} 0
node_cpu_guest_seconds_total{cpu="9",instance="node-exporter:9100",job="node-exporter",mode="user"} 0

## node_cpu_seconds_total
node_cpu_seconds_total{cpu="0",instance="node-exporter:9100",job="node-exporter",mode="idle"} 5295.63
node_cpu_seconds_total{cpu="0",instance="node-exporter:9100",job="node-exporter",mode="iowait"} 8.34
node_cpu_seconds_total{cpu="0",instance="node-exporter:9100",job="node-exporter",mode="irq"} 0
node_cpu_seconds_total{cpu="0",instance="node-exporter:9100",job="node-exporter",mode="nice"} 0
node_cpu_seconds_total{cpu="0",instance="node-exporter:9100",job="node-exporter",mode="softirq"} 197.64
node_cpu_seconds_total{cpu="0",instance="node-exporter:9100",job="node-exporter",mode="steal"} 0
node_cpu_seconds_total{cpu="0",instance="node-exporter:9100",job="node-exporter",mode="system"} 101.37
node_cpu_seconds_total{cpu="0",instance="node-exporter:9100",job="node-exporter",mode="user"} 270.62
node_cpu_seconds_total{cpu="1",instance="node-exporter:9100",job="node-exporter",mode="idle"} 5406.56
node_cpu_seconds_total{cpu="1",instance="node-exporter:9100",job="node-exporter",mode="iowait"} 6.99
node_cpu_seconds_total{cpu="1",instance="node-exporter:9100",job="node-exporter",mode="irq"} 0
node_cpu_seconds_total{cpu="1",instance="node-exporter:9100",job="node-exporter",mode="nice"} 0
node_cpu_seconds_total{cpu="1",instance="node-exporter:9100",job="node-exporter",mode="softirq"} 83.66
node_cpu_seconds_total{cpu="1",instance="node-exporter:9100",job="node-exporter",mode="steal"} 0
node_cpu_seconds_total{cpu="1",instance="node-exporter:9100",job="node-exporter",mode="system"} 95.56
node_cpu_seconds_total{cpu="1",instance="node-exporter:9100",job="node-exporter",mode="user"} 262.97
node_cpu_seconds_total{cpu="2",instance="node-exporter:9100",job="node-exporter",mode="idle"} 5425.24
node_cpu_seconds_total{cpu="2",instance="node-exporter:9100",job="node-exporter",mode="iowait"} 5.47
node_cpu_seconds_total{cpu="2",instance="node-exporter:9100",job="node-exporter",mode="irq"} 0
node_cpu_seconds_total{cpu="2",instance="node-exporter:9100",job="node-exporter",mode="nice"} 0
node_cpu_seconds_total{cpu="2",instance="node-exporter:9100",job="node-exporter",mode="softirq"} 35.96
node_cpu_seconds_total{cpu="2",instance="node-exporter:9100",job="node-exporter",mode="steal"} 0
node_cpu_seconds_total{cpu="2",instance="node-exporter:9100",job="node-exporter",mode="system"} 94.72
node_cpu_seconds_total{cpu="2",instance="node-exporter:9100",job="node-exporter",mode="user"} 261.1
node_cpu_seconds_total{cpu="3",instance="node-exporter:9100",job="node-exporter",mode="idle"} 5429.1
node_cpu_seconds_total{cpu="3",instance="node-exporter:9100",job="node-exporter",mode="iowait"} 4.9
node_cpu_seconds_total{cpu="3",instance="node-exporter:9100",job="node-exporter",mode="irq"} 0
node_cpu_seconds_total{cpu="3",instance="node-exporter:9100",job="node-exporter",mode="nice"} 0
node_cpu_seconds_total{cpu="3",instance="node-exporter:9100",job="node-exporter",mode="softirq"} 19.54
node_cpu_seconds_total{cpu="3",instance="node-exporter:9100",job="node-exporter",mode="steal"} 0
node_cpu_seconds_total{cpu="3",instance="node-exporter:9100",job="node-exporter",mode="system"} 94.09
node_cpu_seconds_total{cpu="3",instance="node-exporter:9100",job="node-exporter",mode="user"} 262.03
node_cpu_seconds_total{cpu="4",instance="node-exporter:9100",job="node-exporter",mode="idle"} 5430.97
node_cpu_seconds_total{cpu="4",instance="node-exporter:9100",job="node-exporter",mode="iowait"} 4.86
node_cpu_seconds_total{cpu="4",instance="node-exporter:9100",job="node-exporter",mode="irq"} 0
node_cpu_seconds_total{cpu="4",instance="node-exporter:9100",job="node-exporter",mode="nice"} 0
node_cpu_seconds_total{cpu="4",instance="node-exporter:9100",job="node-exporter",mode="softirq"} 12.93
node_cpu_seconds_total{cpu="4",instance="node-exporter:9100",job="node-exporter",mode="steal"} 0
node_cpu_seconds_total{cpu="4",instance="node-exporter:9100",job="node-exporter",mode="system"} 93.7
node_cpu_seconds_total{cpu="4",instance="node-exporter:9100",job="node-exporter",mode="user"} 261.76
node_cpu_seconds_total{cpu="5",instance="node-exporter:9100",job="node-exporter",mode="idle"} 5437.13
node_cpu_seconds_total{cpu="5",instance="node-exporter:9100",job="node-exporter",mode="iowait"} 5.48
node_cpu_seconds_total{cpu="5",instance="node-exporter:9100",job="node-exporter",mode="irq"} 0
node_cpu_seconds_total{cpu="5",instance="node-exporter:9100",job="node-exporter",mode="nice"} 0
node_cpu_seconds_total{cpu="5",instance="node-exporter:9100",job="node-exporter",mode="softirq"} 9.44
node_cpu_seconds_total{cpu="5",instance="node-exporter:9100",job="node-exporter",mode="steal"} 0
node_cpu_seconds_total{cpu="5",instance="node-exporter:9100",job="node-exporter",mode="system"} 92.52
node_cpu_seconds_total{cpu="5",instance="node-exporter:9100",job="node-exporter",mode="user"} 257.23
node_cpu_seconds_total{cpu="6",instance="node-exporter:9100",job="node-exporter",mode="idle"} 5429.61
node_cpu_seconds_total{cpu="6",instance="node-exporter:9100",job="node-exporter",mode="iowait"} 4.12
node_cpu_seconds_total{cpu="6",instance="node-exporter:9100",job="node-exporter",mode="irq"} 0
node_cpu_seconds_total{cpu="6",instance="node-exporter:9100",job="node-exporter",mode="nice"} 0
node_cpu_seconds_total{cpu="6",instance="node-exporter:9100",job="node-exporter",mode="softirq"} 7.45
