# Metrics for node-exporter
# Job: node-exporter
# Category: monitoring
# Exported at: 2025-07-02T11:09:54.004769
# Total metrics: 2478
# Unique metric types: 317

## go_gc_duration_seconds
node_filesystem_avail_bytes{device="/run/host_mark/private",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt/private"} 24161705525248
node_filesystem_avail_bytes{device="/run/host_mark/tmp",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt/tmp"} 24161705525248
node_filesystem_avail_bytes{device="/run/host_mark/var/folders",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt/var/folders"} 24161705525248
node_filesystem_avail_bytes{device="/run/host_virtiofs/Users",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_mark/Users"} 24161705525248
node_filesystem_avail_bytes{device="/run/host_virtiofs/Volumes",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_mark/Volumes"} 24161705525248
node_filesystem_avail_bytes{device="/run/host_virtiofs/private",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_mark/private"} 24161705525248
node_filesystem_avail_bytes{device="/run/host_virtiofs/tmp",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_mark/tmp"} 24161705525248
node_filesystem_avail_bytes{device="/run/host_virtiofs/var/folders",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_mark/var/folders"} 24161705525248
node_filesystem_avail_bytes{device="/run/mutagen-file-shares-mark",fstype="selfowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/mutagen-file-shares"} 1010815893504
node_filesystem_avail_bytes{device="/var/lib/mutagen/file-shares",fstype="selfowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/mutagen-file-shares-mark"} 1010815893504
node_filesystem_avail_bytes{device="ROSETTA",fstype="virtiofs",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/rosetta.orig"} 24161705525248
node_filesystem_avail_bytes{device="grpcfuse",fstype="fuse.grpcfuse",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/grpcfuse"} 24161705525248
node_filesystem_avail_bytes{device="rawBridge",fstype="fuse.rawBridge",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/jfs"} 0
node_filesystem_avail_bytes{device="rosetta-mount",fstype="fuse.rosetta-mount",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/rosetta"} 0
node_filesystem_avail_bytes{device="tmpfs",fstype="tmpfs",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt"} 821805056
node_filesystem_avail_bytes{device="tmpfs",fstype="tmpfs",instance="node-exporter:9100",job="node-exporter",mountpoint="/oldroot/run"} 821338112
node_filesystem_avail_bytes{device="tmpfs",fstype="tmpfs",instance="node-exporter:9100",job="node-exporter",mountpoint="/run"} 818896896
node_filesystem_avail_bytes{device="tmpfs",fstype="tmpfs",instance="node-exporter:9100",job="node-exporter",mountpoint="/tmp"} 821805056
node_filesystem_avail_bytes{device="tmpfs",fstype="tmpfs",instance="node-exporter:9100",job="node-exporter",mountpoint="/var"} 4108984320
node_filesystem_avail_bytes{device="virtiofs0",fstype="virtiofs.virtiofs0",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_virtiofs/Users"} 24161705525248
node_filesystem_avail_bytes{device="virtiofs1",fstype="virtiofs.virtiofs1",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_virtiofs/Volumes"} 24161705525248
node_filesystem_avail_bytes{device="virtiofs2",fstype="virtiofs.virtiofs2",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_virtiofs/private"} 24161705525248
node_filesystem_avail_bytes{device="virtiofs3",fstype="virtiofs.virtiofs3",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_virtiofs/tmp"} 24161705525248
node_filesystem_avail_bytes{device="virtiofs4",fstype="virtiofs.virtiofs4",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_virtiofs/var/folders"} 24161705525248

## node_filesystem_device_error
node_filesystem_device_error{device="/dev/root",fstype="erofs",instance="node-exporter:9100",job="node-exporter",mountpoint="/oldroot"} 0
node_filesystem_device_error{device="/dev/vda1",fstype="ext4",instance="node-exporter:9100",job="node-exporter",mountpoint="/var/lib"} 0
node_filesystem_device_error{device="/dev/vda1",fstype="ext4",instance="node-exporter:9100",job="node-exporter",mountpoint="/var/lib/docker"} 0
node_filesystem_device_error{device="/run/host_mark/Users",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt/Users"} 0
node_filesystem_device_error{device="/run/host_mark/Volumes",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt/Volumes"} 0
node_filesystem_device_error{device="/run/host_mark/private",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt/private"} 0
node_filesystem_device_error{device="/run/host_mark/tmp",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt/tmp"} 0
node_filesystem_device_error{device="/run/host_mark/var/folders",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt/var/folders"} 0
node_filesystem_device_error{device="/run/host_virtiofs/Users",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_mark/Users"} 0
node_filesystem_device_error{device="/run/host_virtiofs/Volumes",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_mark/Volumes"} 0
node_filesystem_device_error{device="/run/host_virtiofs/private",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_mark/private"} 0
node_filesystem_device_error{device="/run/host_virtiofs/tmp",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_mark/tmp"} 0
node_filesystem_device_error{device="/run/host_virtiofs/var/folders",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_mark/var/folders"} 0
node_filesystem_device_error{device="/run/mutagen-file-shares-mark",fstype="selfowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/mutagen-file-shares"} 0
node_filesystem_device_error{device="/var/lib/mutagen/file-shares",fstype="selfowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/mutagen-file-shares-mark"} 0
node_filesystem_device_error{device="ROSETTA",fstype="virtiofs",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/rosetta.orig"} 0
node_filesystem_device_error{device="grpcfuse",fstype="fuse.grpcfuse",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/grpcfuse"} 0
node_filesystem_device_error{device="rawBridge",fstype="fuse.rawBridge",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/jfs"} 0
node_filesystem_device_error{device="rosetta-mount",fstype="fuse.rosetta-mount",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/rosetta"} 0
node_filesystem_device_error{device="tmpfs",fstype="tmpfs",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt"} 0
node_filesystem_device_error{device="tmpfs",fstype="tmpfs",instance="node-exporter:9100",job="node-exporter",mountpoint="/oldroot/run"} 0
node_filesystem_device_error{device="tmpfs",fstype="tmpfs",instance="node-exporter:9100",job="node-exporter",mountpoint="/run"} 0
node_filesystem_device_error{device="tmpfs",fstype="tmpfs",instance="node-exporter:9100",job="node-exporter",mountpoint="/tmp"} 0
node_filesystem_device_error{device="tmpfs",fstype="tmpfs",instance="node-exporter:9100",job="node-exporter",mountpoint="/var"} 0
node_filesystem_device_error{device="virtiofs0",fstype="virtiofs.virtiofs0",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_virtiofs/Users"} 0
node_filesystem_device_error{device="virtiofs1",fstype="virtiofs.virtiofs1",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_virtiofs/Volumes"} 0
node_filesystem_device_error{device="virtiofs2",fstype="virtiofs.virtiofs2",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_virtiofs/private"} 0
node_filesystem_device_error{device="virtiofs3",fstype="virtiofs.virtiofs3",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_virtiofs/tmp"} 0
node_filesystem_device_error{device="virtiofs4",fstype="virtiofs.virtiofs4",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_virtiofs/var/folders"} 0

## node_filesystem_files
node_filesystem_files{device="/dev/root",fstype="erofs",instance="node-exporter:9100",job="node-exporter",mountpoint="/oldroot"} 18446744073709552000
node_filesystem_files{device="/dev/vda1",fstype="ext4",instance="node-exporter:9100",job="node-exporter",mountpoint="/var/lib"} 67108864
node_filesystem_files{device="/dev/vda1",fstype="ext4",instance="node-exporter:9100",job="node-exporter",mountpoint="/var/lib/docker"} 67108864
node_filesystem_files{device="/run/host_mark/Users",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt/Users"} 927168116
node_filesystem_files{device="/run/host_mark/Volumes",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt/Volumes"} 927168116
node_filesystem_files{device="/run/host_mark/private",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt/private"} 927168116
node_filesystem_files{device="/run/host_mark/tmp",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt/tmp"} 927168116
node_filesystem_files{device="/run/host_mark/var/folders",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt/var/folders"} 927168116
node_filesystem_files{device="/run/host_virtiofs/Users",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_mark/Users"} 927168116
node_filesystem_files{device="/run/host_virtiofs/Volumes",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_mark/Volumes"} 927168116
node_filesystem_files{device="/run/host_virtiofs/private",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_mark/private"} 927168116
node_filesystem_files{device="/run/host_virtiofs/tmp",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_mark/tmp"} 927168116
node_filesystem_files{device="/run/host_virtiofs/var/folders",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_mark/var/folders"} 927168116
node_filesystem_files{device="/run/mutagen-file-shares-mark",fstype="selfowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/mutagen-file-shares"} 67108864
node_filesystem_files{device="/var/lib/mutagen/file-shares",fstype="selfowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/mutagen-file-shares-mark"} 67108864
node_filesystem_files{device="ROSETTA",fstype="virtiofs",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/rosetta.orig"} 927168116
node_filesystem_files{device="grpcfuse",fstype="fuse.grpcfuse",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/grpcfuse"} 922121718
node_filesystem_files{device="rawBridge",fstype="fuse.rawBridge",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/jfs"} 0
node_filesystem_files{device="rosetta-mount",fstype="fuse.rosetta-mount",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/rosetta"} 0
node_filesystem_files{device="tmpfs",fstype="tmpfs",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt"} 1003178
node_filesystem_files{device="tmpfs",fstype="tmpfs",instance="node-exporter:9100",job="node-exporter",mountpoint="/oldroot/run"} 1003178
node_filesystem_files{device="tmpfs",fstype="tmpfs",instance="node-exporter:9100",job="node-exporter",mountpoint="/run"} 1003178
node_filesystem_files{device="tmpfs",fstype="tmpfs",instance="node-exporter:9100",job="node-exporter",mountpoint="/tmp"} 1003178
node_filesystem_files{device="tmpfs",fstype="tmpfs",instance="node-exporter:9100",job="node-exporter",mountpoint="/var"} 1003178
node_filesystem_files{device="virtiofs0",fstype="virtiofs.virtiofs0",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_virtiofs/Users"} 927168116
node_filesystem_files{device="virtiofs1",fstype="virtiofs.virtiofs1",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_virtiofs/Volumes"} 927168116
node_filesystem_files{device="virtiofs2",fstype="virtiofs.virtiofs2",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_virtiofs/private"} 927168116
node_filesystem_files{device="virtiofs3",fstype="virtiofs.virtiofs3",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_virtiofs/tmp"} 927168116
node_filesystem_files{device="virtiofs4",fstype="virtiofs.virtiofs4",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_virtiofs/var/folders"} 927168116

## node_filesystem_files_free
node_filesystem_files_free{device="/dev/root",fstype="erofs",instance="node-exporter:9100",job="node-exporter",mountpoint="/oldroot"} 18446744073709545000
node_filesystem_files_free{device="/dev/vda1",fstype="ext4",instance="node-exporter:9100",job="node-exporter",mountpoint="/var/lib"} 66819720
node_filesystem_files_free{device="/dev/vda1",fstype="ext4",instance="node-exporter:9100",job="node-exporter",mountpoint="/var/lib/docker"} 66819720
node_filesystem_files_free{device="/run/host_mark/Users",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt/Users"} 921695920
node_filesystem_files_free{device="/run/host_mark/Volumes",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt/Volumes"} 921695920
node_filesystem_files_free{device="/run/host_mark/private",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt/private"} 921695920
node_filesystem_files_free{device="/run/host_mark/tmp",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt/tmp"} 921695920
node_filesystem_files_free{device="/run/host_mark/var/folders",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt/var/folders"} 921695920
node_filesystem_files_free{device="/run/host_virtiofs/Users",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_mark/Users"} 921695920
node_filesystem_files_free{device="/run/host_virtiofs/Volumes",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_mark/Volumes"} 921695920
node_filesystem_files_free{device="/run/host_virtiofs/private",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_mark/private"} 921695920
node_filesystem_files_free{device="/run/host_virtiofs/tmp",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_mark/tmp"} 921695920
node_filesystem_files_free{device="/run/host_virtiofs/var/folders",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_mark/var/folders"} 921695920
node_filesystem_files_free{device="/run/mutagen-file-shares-mark",fstype="selfowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/mutagen-file-shares"} 66819720
node_filesystem_files_free{device="/var/lib/mutagen/file-shares",fstype="selfowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/mutagen-file-shares-mark"} 66819720
node_filesystem_files_free{device="ROSETTA",fstype="virtiofs",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/rosetta.orig"} 921695920
node_filesystem_files_free{device="grpcfuse",fstype="fuse.grpcfuse",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/grpcfuse"} 921695920
node_filesystem_files_free{device="rawBridge",fstype="fuse.rawBridge",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/jfs"} 0
node_filesystem_files_free{device="rosetta-mount",fstype="fuse.rosetta-mount",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/rosetta"} 0
node_filesystem_files_free{device="tmpfs",fstype="tmpfs",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt"} 1003171
node_filesystem_files_free{device="tmpfs",fstype="tmpfs",instance="node-exporter:9100",job="node-exporter",mountpoint="/oldroot/run"} 1003153
node_filesystem_files_free{device="tmpfs",fstype="tmpfs",instance="node-exporter:9100",job="node-exporter",mountpoint="/run"} 1002363
node_filesystem_files_free{device="tmpfs",fstype="tmpfs",instance="node-exporter:9100",job="node-exporter",mountpoint="/tmp"} 1003177
node_filesystem_files_free{device="tmpfs",fstype="tmpfs",instance="node-exporter:9100",job="node-exporter",mountpoint="/var"} 1003159
node_filesystem_files_free{device="virtiofs0",fstype="virtiofs.virtiofs0",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_virtiofs/Users"} 921695920
node_filesystem_files_free{device="virtiofs1",fstype="virtiofs.virtiofs1",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_virtiofs/Volumes"} 921695920
node_filesystem_files_free{device="virtiofs2",fstype="virtiofs.virtiofs2",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_virtiofs/private"} 921695920
node_filesystem_files_free{device="virtiofs3",fstype="virtiofs.virtiofs3",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_virtiofs/tmp"} 921695920
node_filesystem_files_free{device="virtiofs4",fstype="virtiofs.virtiofs4",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_virtiofs/var/folders"} 921695920

## node_filesystem_free_bytes
node_filesystem_free_bytes{device="/dev/root",fstype="erofs",instance="node-exporter:9100",job="node-exporter",mountpoint="/oldroot"} 0
node_filesystem_free_bytes{device="/dev/vda1",fstype="ext4",instance="node-exporter:9100",job="node-exporter",mountpoint="/var/lib"} 1065808199680
node_filesystem_free_bytes{device="/dev/vda1",fstype="ext4",instance="node-exporter:9100",job="node-exporter",mountpoint="/var/lib/docker"} 1065808199680
node_filesystem_free_bytes{device="/run/host_mark/Users",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt/Users"} 24161705525248
node_filesystem_free_bytes{device="/run/host_mark/Volumes",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt/Volumes"} 24161705525248
node_filesystem_free_bytes{device="/run/host_mark/private",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt/private"} 24161705525248
node_filesystem_free_bytes{device="/run/host_mark/tmp",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt/tmp"} 24161705525248
node_filesystem_free_bytes{device="/run/host_mark/var/folders",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt/var/folders"} 24161705525248
node_filesystem_free_bytes{device="/run/host_virtiofs/Users",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_mark/Users"} 24161705525248
node_filesystem_free_bytes{device="/run/host_virtiofs/Volumes",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_mark/Volumes"} 24161705525248
node_filesystem_free_bytes{device="/run/host_virtiofs/private",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_mark/private"} 24161705525248
node_filesystem_free_bytes{device="/run/host_virtiofs/tmp",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_mark/tmp"} 24161705525248
node_filesystem_free_bytes{device="/run/host_virtiofs/var/folders",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_mark/var/folders"} 24161705525248
node_filesystem_free_bytes{device="/run/mutagen-file-shares-mark",fstype="selfowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/mutagen-file-shares"} 1065808199680
node_filesystem_free_bytes{device="/var/lib/mutagen/file-shares",fstype="selfowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/mutagen-file-shares-mark"} 1065808199680
node_filesystem_free_bytes{device="ROSETTA",fstype="virtiofs",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/rosetta.orig"} 24161705525248
node_filesystem_free_bytes{device="grpcfuse",fstype="fuse.grpcfuse",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/grpcfuse"} 24161705525248
node_filesystem_free_bytes{device="rawBridge",fstype="fuse.rawBridge",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/jfs"} 0
node_filesystem_free_bytes{device="rosetta-mount",fstype="fuse.rosetta-mount",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/rosetta"} 0
node_filesystem_free_bytes{device="tmpfs",fstype="tmpfs",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt"} 821805056
node_filesystem_free_bytes{device="tmpfs",fstype="tmpfs",instance="node-exporter:9100",job="node-exporter",mountpoint="/oldroot/run"} 821338112
node_filesystem_free_bytes{device="tmpfs",fstype="tmpfs",instance="node-exporter:9100",job="node-exporter",mountpoint="/run"} 818896896
node_filesystem_free_bytes{device="tmpfs",fstype="tmpfs",instance="node-exporter:9100",job="node-exporter",mountpoint="/tmp"} 821805056
node_filesystem_free_bytes{device="tmpfs",fstype="tmpfs",instance="node-exporter:9100",job="node-exporter",mountpoint="/var"} 4108984320
node_filesystem_free_bytes{device="virtiofs0",fstype="virtiofs.virtiofs0",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_virtiofs/Users"} 24161705525248
node_filesystem_free_bytes{device="virtiofs1",fstype="virtiofs.virtiofs1",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_virtiofs/Volumes"} 24161705525248
node_filesystem_free_bytes{device="virtiofs2",fstype="virtiofs.virtiofs2",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_virtiofs/private"} 24161705525248
node_filesystem_free_bytes{device="virtiofs3",fstype="virtiofs.virtiofs3",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_virtiofs/tmp"} 24161705525248
node_filesystem_free_bytes{device="virtiofs4",fstype="virtiofs.virtiofs4",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_virtiofs/var/folders"} 24161705525248

## node_filesystem_mount_info
node_filesystem_mount_info{device="/dev/root",instance="node-exporter:9100",job="node-exporter",major="254",minor="16",mountpoint="/oldroot"} 1
node_filesystem_mount_info{device="/dev/vda1",instance="node-exporter:9100",job="node-exporter",major="254",minor="1",mountpoint="/var/lib"} 1
node_filesystem_mount_info{device="/dev/vda1",instance="node-exporter:9100",job="node-exporter",major="254",minor="1",mountpoint="/var/lib/docker"} 1
node_filesystem_mount_info{device="/run/host_mark/Users",instance="node-exporter:9100",job="node-exporter",major="0",minor="45",mountpoint="/host_mnt/Users"} 1
node_filesystem_mount_info{device="/run/host_mark/Volumes",instance="node-exporter:9100",job="node-exporter",major="0",minor="48",mountpoint="/host_mnt/Volumes"} 1
node_filesystem_mount_info{device="/run/host_mark/private",instance="node-exporter:9100",job="node-exporter",major="0",minor="51",mountpoint="/host_mnt/private"} 1
node_filesystem_mount_info{device="/run/host_mark/tmp",instance="node-exporter:9100",job="node-exporter",major="0",minor="54",mountpoint="/host_mnt/tmp"} 1
node_filesystem_mount_info{device="/run/host_mark/var/folders",instance="node-exporter:9100",job="node-exporter",major="0",minor="57",mountpoint="/host_mnt/var/folders"} 1
node_filesystem_mount_info{device="/run/host_virtiofs/Users",instance="node-exporter:9100",job="node-exporter",major="0",minor="44",mountpoint="/run/host_mark/Users"} 1
node_filesystem_mount_info{device="/run/host_virtiofs/Volumes",instance="node-exporter:9100",job="node-exporter",major="0",minor="47",mountpoint="/run/host_mark/Volumes"} 1
node_filesystem_mount_info{device="/run/host_virtiofs/private",instance="node-exporter:9100",job="node-exporter",major="0",minor="50",mountpoint="/run/host_mark/private"} 1
node_filesystem_mount_info{device="/run/host_virtiofs/tmp",instance="node-exporter:9100",job="node-exporter",major="0",minor="53",mountpoint="/run/host_mark/tmp"} 1
node_filesystem_mount_info{device="/run/host_virtiofs/var/folders",instance="node-exporter:9100",job="node-exporter",major="0",minor="56",mountpoint="/run/host_mark/var/folders"} 1
node_filesystem_mount_info{device="/run/mutagen-file-shares-mark",instance="node-exporter:9100",job="node-exporter",major="0",minor="60",mountpoint="/run/mutagen-file-shares"} 1
node_filesystem_mount_info{device="/var/lib/mutagen/file-shares",instance="node-exporter:9100",job="node-exporter",major="0",minor="59",mountpoint="/run/mutagen-file-shares-mark"} 1
node_filesystem_mount_info{device="ROSETTA",instance="node-exporter:9100",job="node-exporter",major="0",minor="41",mountpoint="/run/rosetta.orig"} 1
node_filesystem_mount_info{device="grpcfuse",instance="node-exporter:9100",job="node-exporter",major="0",minor="42",mountpoint="/run/grpcfuse"} 1
node_filesystem_mount_info{device="rawBridge",instance="node-exporter:9100",job="node-exporter",major="0",minor="61",mountpoint="/run/jfs"} 1
node_filesystem_mount_info{device="rosetta-mount",instance="node-exporter:9100",job="node-exporter",major="0",minor="58",mountpoint="/run/rosetta"} 1
node_filesystem_mount_info{device="tmpfs",instance="node-exporter:9100",job="node-exporter",major="0",minor="23",mountpoint="/oldroot/run"} 1
node_filesystem_mount_info{device="tmpfs",instance="node-exporter:9100",job="node-exporter",major="0",minor="28",mountpoint="/run"} 1
node_filesystem_mount_info{device="tmpfs",instance="node-exporter:9100",job="node-exporter",major="0",minor="29",mountpoint="/var"} 1
node_filesystem_mount_info{device="tmpfs",instance="node-exporter:9100",job="node-exporter",major="0",minor="30",mountpoint="/host_mnt"} 1
node_filesystem_mount_info{device="tmpfs",instance="node-exporter:9100",job="node-exporter",major="0",minor="31",mountpoint="/tmp"} 1
node_filesystem_mount_info{device="virtiofs0",instance="node-exporter:9100",job="node-exporter",major="0",minor="43",mountpoint="/run/host_virtiofs/Users"} 1
node_filesystem_mount_info{device="virtiofs1",instance="node-exporter:9100",job="node-exporter",major="0",minor="46",mountpoint="/run/host_virtiofs/Volumes"} 1
node_filesystem_mount_info{device="virtiofs2",instance="node-exporter:9100",job="node-exporter",major="0",minor="49",mountpoint="/run/host_virtiofs/private"} 1
node_filesystem_mount_info{device="virtiofs3",instance="node-exporter:9100",job="node-exporter",major="0",minor="52",mountpoint="/run/host_virtiofs/tmp"} 1
node_filesystem_mount_info{device="virtiofs4",instance="node-exporter:9100",job="node-exporter",major="0",minor="55",mountpoint="/run/host_virtiofs/var/folders"} 1

## node_filesystem_purgeable_bytes
node_filesystem_purgeable_bytes{device="/dev/root",fstype="erofs",instance="node-exporter:9100",job="node-exporter",mountpoint="/oldroot"} 0
node_filesystem_purgeable_bytes{device="/dev/vda1",fstype="ext4",instance="node-exporter:9100",job="node-exporter",mountpoint="/var/lib"} 0
node_filesystem_purgeable_bytes{device="/dev/vda1",fstype="ext4",instance="node-exporter:9100",job="node-exporter",mountpoint="/var/lib/docker"} 0
node_filesystem_purgeable_bytes{device="/run/host_mark/Users",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt/Users"} 0
node_filesystem_purgeable_bytes{device="/run/host_mark/Volumes",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt/Volumes"} 0
node_filesystem_purgeable_bytes{device="/run/host_mark/private",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt/private"} 0
node_filesystem_purgeable_bytes{device="/run/host_mark/tmp",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt/tmp"} 0
node_filesystem_purgeable_bytes{device="/run/host_mark/var/folders",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/host_mnt/var/folders"} 0
node_filesystem_purgeable_bytes{device="/run/host_virtiofs/Users",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_mark/Users"} 0
node_filesystem_purgeable_bytes{device="/run/host_virtiofs/Volumes",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_mark/Volumes"} 0
node_filesystem_purgeable_bytes{device="/run/host_virtiofs/private",fstype="fakeowner",instance="node-exporter:9100",job="node-exporter",mountpoint="/run/host_mark/private"} 0
