# Metrics for banking-db-demo
# Job: banking-db-demo
# Category: database
# Exported at: 2025-07-02T11:09:53.994684
# Total metrics: 121
# Unique metric types: 36

## banking_db_connection_acquisition_duration_seconds_bucket
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.025",query_type="insert",service="db-demo"} 4046
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.05",query_type="insert",service="db-demo"} 4061
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.075",query_type="insert",service="db-demo"} 4066
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.1",query_type="insert",service="db-demo"} 4068
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.25",query_type="insert",service="db-demo"} 4069
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.5",query_type="insert",service="db-demo"} 4069
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.75",query_type="insert",service="db-demo"} 4069
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="1.0",query_type="insert",service="db-demo"} 4069
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="2.5",query_type="insert",service="db-demo"} 4069
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="5.0",query_type="insert",service="db-demo"} 4069
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="7.5",query_type="insert",service="db-demo"} 4069
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="10.0",query_type="insert",service="db-demo"} 4069
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="+Inf",query_type="insert",service="db-demo"} 4069
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.005",query_type="update",service="db-demo"} 1883
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.01",query_type="update",service="db-demo"} 1973
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.025",query_type="update",service="db-demo"} 2000
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.05",query_type="update",service="db-demo"} 2002
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.075",query_type="update",service="db-demo"} 2003
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.1",query_type="update",service="db-demo"} 2005
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.25",query_type="update",service="db-demo"} 2005
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.5",query_type="update",service="db-demo"} 2005
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.75",query_type="update",service="db-demo"} 2005
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="1.0",query_type="update",service="db-demo"} 2005
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="2.5",query_type="update",service="db-demo"} 2005
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="5.0",query_type="update",service="db-demo"} 2005
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="7.5",query_type="update",service="db-demo"} 2005
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="10.0",query_type="update",service="db-demo"} 2005
banking_db_query_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="+Inf",query_type="update",service="db-demo"} 2005

## banking_db_query_duration_seconds_count
banking_db_query_duration_seconds_count{instance="banking-db-connection-demo:5006",job="banking-db-demo",query_type="select",service="db-demo"} 4118
banking_db_query_duration_seconds_count{instance="banking-db-connection-demo:5006",job="banking-db-demo",query_type="insert",service="db-demo"} 4069
banking_db_query_duration_seconds_count{instance="banking-db-connection-demo:5006",job="banking-db-demo",query_type="update",service="db-demo"} 2005

## banking_db_query_duration_seconds_created
banking_db_query_duration_seconds_created{instance="banking-db-connection-demo:5006",job="banking-db-demo",query_type="select",service="db-demo"} 1751429130.8889055
banking_db_query_duration_seconds_created{instance="banking-db-connection-demo:5006",job="banking-db-demo",query_type="insert",service="db-demo"} 1751429131.9980822
banking_db_query_duration_seconds_created{instance="banking-db-connection-demo:5006",job="banking-db-demo",query_type="update",service="db-demo"} 1751429134.9542835

## banking_db_query_duration_seconds_sum
banking_db_query_duration_seconds_sum{instance="banking-db-connection-demo:5006",job="banking-db-demo",query_type="select",service="db-demo"} 6.027606018006054
banking_db_query_duration_seconds_sum{instance="banking-db-connection-demo:5006",job="banking-db-demo",query_type="insert",service="db-demo"} 12.049857910980108
banking_db_query_duration_seconds_sum{instance="banking-db-connection-demo:5006",job="banking-db-demo",query_type="update",service="db-demo"} 5.331051659003492

## db_connection_demo_exporter_info
db_connection_demo_exporter_info{instance="banking-db-connection-demo:5006",job="banking-db-demo",version="0.21.0"} 1

## db_connection_demo_http_request_created
db_connection_demo_http_request_created{instance="banking-db-connection-demo:5006",job="banking-db-demo",method="GET",status="200"} 1751429199.7824507

## db_connection_demo_http_request_duration_seconds_bucket
db_connection_demo_http_request_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.005",method="GET",path="/health",status="200"} 1
db_connection_demo_http_request_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.01",method="GET",path="/health",status="200"} 1
db_connection_demo_http_request_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.025",method="GET",path="/health",status="200"} 1
db_connection_demo_http_request_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.05",method="GET",path="/health",status="200"} 1
db_connection_demo_http_request_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.075",method="GET",path="/health",status="200"} 1
db_connection_demo_http_request_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.1",method="GET",path="/health",status="200"} 1
db_connection_demo_http_request_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.25",method="GET",path="/health",status="200"} 1
db_connection_demo_http_request_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.5",method="GET",path="/health",status="200"} 1
db_connection_demo_http_request_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="0.75",method="GET",path="/health",status="200"} 1
db_connection_demo_http_request_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="1.0",method="GET",path="/health",status="200"} 1
db_connection_demo_http_request_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="2.5",method="GET",path="/health",status="200"} 1
db_connection_demo_http_request_duration_seconds_bucket{instance="banking-db-connection-demo:5006",job="banking-db-demo",le="5.0",method="GET",path="/health",status="200"} 1
