# Metrics for redis-exporter
# Job: redis-exporter
# Category: cache
# Exported at: 2025-07-02T11:09:53.994813
# Total metrics: 675
# Unique metric types: 323

## go_cgo_go_to_c_calls_calls_total
go_sched_pauses_total_other_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="0.0009175039999999999"} 0
go_sched_pauses_total_other_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="0.010485759999999998"} 0
go_sched_pauses_total_other_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="0.11744051199999998"} 0
go_sched_pauses_total_other_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="+Inf"} 0

## go_sched_pauses_total_other_seconds_count
go_sched_pauses_total_other_seconds_count{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_sched_pauses_total_other_seconds_sum
go_sched_pauses_total_other_seconds_sum{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_sync_mutex_wait_total_seconds_total
go_sync_mutex_wait_total_seconds_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0.212834184

## go_threads
go_threads{instance="banking-redis-exporter:9121",job="redis-exporter"} 15

## process_cpu_seconds_total
process_cpu_seconds_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 14.23

## process_max_fds
process_max_fds{instance="banking-redis-exporter:9121",job="redis-exporter"} 1048576

## process_network_receive_bytes_total
process_network_receive_bytes_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 6882729

## process_network_transmit_bytes_total
process_network_transmit_bytes_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 5798394

## process_open_fds
process_open_fds{instance="banking-redis-exporter:9121",job="redis-exporter"} 7

## process_resident_memory_bytes
process_resident_memory_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 19587072

## process_start_time_seconds
process_start_time_seconds{instance="banking-redis-exporter:9121",job="redis-exporter"} 1751429071.66

## process_virtual_memory_bytes
process_virtual_memory_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 1265270784

## process_virtual_memory_max_bytes
process_virtual_memory_max_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 18446744073709552000

## redis_acl_access_denied_auth_total
redis_acl_access_denied_auth_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_acl_access_denied_channel_total
redis_acl_access_denied_channel_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_acl_access_denied_cmd_total
redis_acl_access_denied_cmd_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_acl_access_denied_key_total
redis_acl_access_denied_key_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_active_defrag_running
redis_active_defrag_running{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_allocator_active_bytes
redis_allocator_active_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 14155776

## redis_allocator_allocated_bytes
redis_allocator_allocated_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 3556912

## redis_allocator_frag_bytes
redis_allocator_frag_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 7509200

## redis_allocator_frag_ratio
redis_allocator_frag_ratio{instance="banking-redis-exporter:9121",job="redis-exporter"} 5.89

## redis_allocator_muzzy_bytes
redis_allocator_muzzy_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_allocator_resident_bytes
redis_allocator_resident_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 16777216

## redis_allocator_rss_bytes
redis_allocator_rss_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 2621440

## redis_allocator_rss_ratio
redis_allocator_rss_ratio{instance="banking-redis-exporter:9121",job="redis-exporter"} 1.19

## redis_aof_current_rewrite_duration_sec
redis_aof_current_rewrite_duration_sec{instance="banking-redis-exporter:9121",job="redis-exporter"} -1

## redis_aof_enabled
redis_aof_enabled{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_aof_last_bgrewrite_status
redis_aof_last_bgrewrite_status{instance="banking-redis-exporter:9121",job="redis-exporter"} 1

## redis_aof_last_cow_size_bytes
redis_aof_last_cow_size_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_aof_last_rewrite_duration_sec
redis_aof_last_rewrite_duration_sec{instance="banking-redis-exporter:9121",job="redis-exporter"} -1

## redis_aof_last_write_status
redis_aof_last_write_status{instance="banking-redis-exporter:9121",job="redis-exporter"} 1

## redis_aof_rewrite_in_progress
redis_aof_rewrite_in_progress{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_aof_rewrite_scheduled
redis_aof_rewrite_scheduled{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_async_loading
redis_async_loading{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_blocked_clients
redis_blocked_clients{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_client_output_buffer_limit_disconnections_total
redis_client_output_buffer_limit_disconnections_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_client_query_buffer_limit_disconnections_total
redis_client_query_buffer_limit_disconnections_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_client_recent_max_input_buffer_bytes
redis_client_recent_max_input_buffer_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 20480

## redis_client_recent_max_output_buffer_bytes
redis_client_recent_max_output_buffer_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_clients_in_timeout_table
redis_clients_in_timeout_table{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_cluster_connections
redis_cluster_connections{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_cluster_enabled
redis_cluster_enabled{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_commands_duration_seconds_total
redis_commands_duration_seconds_total{cmd="client|setname",instance="banking-redis-exporter:9121",job="redis-exporter"} 0.012217
redis_commands_duration_seconds_total{cmd="config|get",instance="banking-redis-exporter:9121",job="redis-exporter"} 0.200611
redis_commands_duration_seconds_total{cmd="ping",instance="banking-redis-exporter:9121",job="redis-exporter"} 0.013029
redis_commands_duration_seconds_total{cmd="info",instance="banking-redis-exporter:9121",job="redis-exporter"} 0.361637
redis_commands_duration_seconds_total{cmd="latency|histogram",instance="banking-redis-exporter:9121",job="redis-exporter"} 0.103762
redis_commands_duration_seconds_total{cmd="latency|latest",instance="banking-redis-exporter:9121",job="redis-exporter"} 0.00804
redis_commands_duration_seconds_total{cmd="slowlog|get",instance="banking-redis-exporter:9121",job="redis-exporter"} 0.006976
redis_commands_duration_seconds_total{cmd="slowlog|len",instance="banking-redis-exporter:9121",job="redis-exporter"} 0.006236
redis_commands_duration_seconds_total{cmd="scan",instance="banking-redis-exporter:9121",job="redis-exporter"} 0.008356
redis_commands_duration_seconds_total{cmd="keys",instance="banking-redis-exporter:9121",job="redis-exporter"} 0.031668
redis_commands_duration_seconds_total{cmd="get",instance="banking-redis-exporter:9121",job="redis-exporter"} 0.04934
redis_commands_duration_seconds_total{cmd="setex",instance="banking-redis-exporter:9121",job="redis-exporter"} 0.002655

## redis_commands_failed_calls_total
redis_commands_failed_calls_total{cmd="client|setname",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_commands_failed_calls_total{cmd="config|get",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_commands_failed_calls_total{cmd="ping",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_commands_failed_calls_total{cmd="info",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_commands_failed_calls_total{cmd="latency|histogram",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_commands_failed_calls_total{cmd="latency|latest",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_commands_failed_calls_total{cmd="slowlog|get",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_commands_failed_calls_total{cmd="slowlog|len",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_commands_failed_calls_total{cmd="scan",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_commands_failed_calls_total{cmd="keys",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_commands_failed_calls_total{cmd="get",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_commands_failed_calls_total{cmd="setex",instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_commands_latencies_usec_bucket
redis_commands_latencies_usec_bucket{cmd="client|setname",instance="banking-redis-exporter:9121",job="redis-exporter",le="33.0"} 293
redis_commands_latencies_usec_bucket{cmd="client|setname",instance="banking-redis-exporter:9121",job="redis-exporter",le="+Inf"} 382
redis_commands_latencies_usec_bucket{cmd="config|get",instance="banking-redis-exporter:9121",job="redis-exporter",le="528.0"} 295
redis_commands_latencies_usec_bucket{cmd="config|get",instance="banking-redis-exporter:9121",job="redis-exporter",le="+Inf"} 382
redis_commands_latencies_usec_bucket{cmd="info",instance="banking-redis-exporter:9121",job="redis-exporter",le="528.0"} 731
redis_commands_latencies_usec_bucket{cmd="info",instance="banking-redis-exporter:9121",job="redis-exporter",le="+Inf"} 952
redis_commands_latencies_usec_bucket{cmd="latency|latest",instance="banking-redis-exporter:9121",job="redis-exporter",le="264.0"} 379
redis_commands_latencies_usec_bucket{cmd="latency|latest",instance="banking-redis-exporter:9121",job="redis-exporter",le="+Inf"} 382
redis_commands_latencies_usec_bucket{cmd="ping",instance="banking-redis-exporter:9121",job="redis-exporter",le="1.0"} 132
redis_commands_latencies_usec_bucket{cmd="ping",instance="banking-redis-exporter:9121",job="redis-exporter",le="16.0"} 373
redis_commands_latencies_usec_bucket{cmd="ping",instance="banking-redis-exporter:9121",job="redis-exporter",le="33.0"} 514
redis_commands_latencies_usec_bucket{cmd="ping",instance="banking-redis-exporter:9121",job="redis-exporter",le="66.0"} 539
redis_commands_latencies_usec_bucket{cmd="ping",instance="banking-redis-exporter:9121",job="redis-exporter",le="132.0"} 558
redis_commands_latencies_usec_bucket{cmd="ping",instance="banking-redis-exporter:9121",job="redis-exporter",le="264.0"} 577
redis_commands_latencies_usec_bucket{cmd="ping",instance="banking-redis-exporter:9121",job="redis-exporter",le="+Inf"} 581
redis_commands_latencies_usec_bucket{cmd="client|setname",instance="banking-redis-exporter:9121",job="redis-exporter",le="132.0"} 368
redis_commands_latencies_usec_bucket{cmd="config|get",instance="banking-redis-exporter:9121",job="redis-exporter",le="1056.0"} 353
redis_commands_latencies_usec_bucket{cmd="info",instance="banking-redis-exporter:9121",job="redis-exporter",le="1056.0"} 902
redis_commands_latencies_usec_bucket{cmd="latency|histogram",instance="banking-redis-exporter:9121",job="redis-exporter",le="132.0"} 1
redis_commands_latencies_usec_bucket{cmd="latency|histogram",instance="banking-redis-exporter:9121",job="redis-exporter",le="+Inf"} 381
redis_commands_latencies_usec_bucket{cmd="latency|latest",instance="banking-redis-exporter:9121",job="redis-exporter",le="33.0"} 347
redis_commands_latencies_usec_bucket{cmd="slowlog|get",instance="banking-redis-exporter:9121",job="redis-exporter",le="8.0"} 67
redis_commands_latencies_usec_bucket{cmd="slowlog|get",instance="banking-redis-exporter:9121",job="redis-exporter",le="+Inf"} 381
redis_commands_latencies_usec_bucket{cmd="slowlog|len",instance="banking-redis-exporter:9121",job="redis-exporter",le="33.0"} 360
redis_commands_latencies_usec_bucket{cmd="slowlog|len",instance="banking-redis-exporter:9121",job="redis-exporter",le="+Inf"} 381
redis_commands_latencies_usec_bucket{cmd="client|setname",instance="banking-redis-exporter:9121",job="redis-exporter",le="16.0"} 184
redis_commands_latencies_usec_bucket{cmd="latency|histogram",instance="banking-redis-exporter:9121",job="redis-exporter",le="528.0"} 373
redis_commands_latencies_usec_bucket{cmd="latency|latest",instance="banking-redis-exporter:9121",job="redis-exporter",le="16.0"} 277
redis_commands_latencies_usec_bucket{cmd="ping",instance="banking-redis-exporter:9121",job="redis-exporter",le="2.0"} 164
redis_commands_latencies_usec_bucket{cmd="slowlog|get",instance="banking-redis-exporter:9121",job="redis-exporter",le="264.0"} 380
redis_commands_latencies_usec_bucket{cmd="slowlog|len",instance="banking-redis-exporter:9121",job="redis-exporter",le="264.0"} 381
redis_commands_latencies_usec_bucket{cmd="client|setname",instance="banking-redis-exporter:9121",job="redis-exporter",le="528.0"} 381
redis_commands_latencies_usec_bucket{cmd="config|get",instance="banking-redis-exporter:9121",job="redis-exporter",le="2113.0"} 375
redis_commands_latencies_usec_bucket{cmd="info",instance="banking-redis-exporter:9121",job="redis-exporter",le="33.0"} 242
redis_commands_latencies_usec_bucket{cmd="latency|histogram",instance="banking-redis-exporter:9121",job="redis-exporter",le="264.0"} 240
redis_commands_latencies_usec_bucket{cmd="latency|latest",instance="banking-redis-exporter:9121",job="redis-exporter",le="66.0"} 367
redis_commands_latencies_usec_bucket{cmd="scan",instance="banking-redis-exporter:9121",job="redis-exporter",le="1.0"} 516
redis_commands_latencies_usec_bucket{cmd="scan",instance="banking-redis-exporter:9121",job="redis-exporter",le="1056.0"} 950
redis_commands_latencies_usec_bucket{cmd="scan",instance="banking-redis-exporter:9121",job="redis-exporter",le="+Inf"} 950
redis_commands_latencies_usec_bucket{cmd="slowlog|len",instance="banking-redis-exporter:9121",job="redis-exporter",le="16.0"} 290
redis_commands_latencies_usec_bucket{cmd="slowlog|get",instance="banking-redis-exporter:9121",job="redis-exporter",le="16.0"} 271
redis_commands_latencies_usec_bucket{cmd="info",instance="banking-redis-exporter:9121",job="redis-exporter",le="16.0"} 57
redis_commands_latencies_usec_bucket{cmd="info",instance="banking-redis-exporter:9121",job="redis-exporter",le="264.0"} 453
redis_commands_latencies_usec_bucket{cmd="scan",instance="banking-redis-exporter:9121",job="redis-exporter",le="66.0"} 938
redis_commands_latencies_usec_bucket{cmd="slowlog|get",instance="banking-redis-exporter:9121",job="redis-exporter",le="33.0"} 359
redis_commands_latencies_usec_bucket{cmd="client|setname",instance="banking-redis-exporter:9121",job="redis-exporter",le="4.0"} 66
redis_commands_latencies_usec_bucket{cmd="config|get",instance="banking-redis-exporter:9121",job="redis-exporter",le="264.0"} 55
redis_commands_latencies_usec_bucket{cmd="info",instance="banking-redis-exporter:9121",job="redis-exporter",le="66.0"} 354
redis_commands_latencies_usec_bucket{cmd="keys",instance="banking-redis-exporter:9121",job="redis-exporter",le="16.0"} 2862
redis_commands_latencies_usec_bucket{cmd="keys",instance="banking-redis-exporter:9121",job="redis-exporter",le="+Inf"} 3277
redis_commands_latencies_usec_bucket{cmd="latency|latest",instance="banking-redis-exporter:9121",job="redis-exporter",le="2.0"} 4
redis_commands_latencies_usec_bucket{cmd="ping",instance="banking-redis-exporter:9121",job="redis-exporter",le="8.0"} 244
redis_commands_latencies_usec_bucket{cmd="scan",instance="banking-redis-exporter:9121",job="redis-exporter",le="2.0"} 676
redis_commands_latencies_usec_bucket{cmd="scan",instance="banking-redis-exporter:9121",job="redis-exporter",le="132.0"} 943
redis_commands_latencies_usec_bucket{cmd="get",instance="banking-redis-exporter:9121",job="redis-exporter",le="8.0"} 265
redis_commands_latencies_usec_bucket{cmd="get",instance="banking-redis-exporter:9121",job="redis-exporter",le="16.0"} 489
redis_commands_latencies_usec_bucket{cmd="get",instance="banking-redis-exporter:9121",job="redis-exporter",le="66.0"} 953
redis_commands_latencies_usec_bucket{cmd="get",instance="banking-redis-exporter:9121",job="redis-exporter",le="1056.0"} 1142
redis_commands_latencies_usec_bucket{cmd="get",instance="banking-redis-exporter:9121",job="redis-exporter",le="+Inf"} 1143
redis_commands_latencies_usec_bucket{cmd="setex",instance="banking-redis-exporter:9121",job="redis-exporter",le="33.0"} 23
redis_commands_latencies_usec_bucket{cmd="setex",instance="banking-redis-exporter:9121",job="redis-exporter",le="+Inf"} 45
redis_commands_latencies_usec_bucket{cmd="slowlog|get",instance="banking-redis-exporter:9121",job="redis-exporter",le="2.0"} 20
redis_commands_latencies_usec_bucket{cmd="slowlog|len",instance="banking-redis-exporter:9121",job="redis-exporter",le="1.0"} 7
redis_commands_latencies_usec_bucket{cmd="keys",instance="banking-redis-exporter:9121",job="redis-exporter",le="1.0"} 1331
redis_commands_latencies_usec_bucket{cmd="keys",instance="banking-redis-exporter:9121",job="redis-exporter",le="4.0"} 2320
redis_commands_latencies_usec_bucket{cmd="scan",instance="banking-redis-exporter:9121",job="redis-exporter",le="4.0"} 743
redis_commands_latencies_usec_bucket{cmd="scan",instance="banking-redis-exporter:9121",job="redis-exporter",le="33.0"} 915
redis_commands_latencies_usec_bucket{cmd="get",instance="banking-redis-exporter:9121",job="redis-exporter",le="4.0"} 76
redis_commands_latencies_usec_bucket{cmd="keys",instance="banking-redis-exporter:9121",job="redis-exporter",le="2.0"} 1901
redis_commands_latencies_usec_bucket{cmd="keys",instance="banking-redis-exporter:9121",job="redis-exporter",le="132.0"} 3253
redis_commands_latencies_usec_bucket{cmd="get",instance="banking-redis-exporter:9121",job="redis-exporter",le="528.0"} 1134
redis_commands_latencies_usec_bucket{cmd="keys",instance="banking-redis-exporter:9121",job="redis-exporter",le="33.0"} 3070
redis_commands_latencies_usec_bucket{cmd="keys",instance="banking-redis-exporter:9121",job="redis-exporter",le="66.0"} 3217
redis_commands_latencies_usec_bucket{cmd="scan",instance="banking-redis-exporter:9121",job="redis-exporter",le="16.0"} 811
redis_commands_latencies_usec_bucket{cmd="get",instance="banking-redis-exporter:9121",job="redis-exporter",le="33.0"} 721
redis_commands_latencies_usec_bucket{cmd="get",instance="banking-redis-exporter:9121",job="redis-exporter",le="132.0"} 1092
redis_commands_latencies_usec_bucket{cmd="info",instance="banking-redis-exporter:9121",job="redis-exporter",le="2113.0"} 938
redis_commands_latencies_usec_bucket{cmd="scan",instance="banking-redis-exporter:9121",job="redis-exporter",le="264.0"} 948
redis_commands_latencies_usec_bucket{cmd="slowlog|len",instance="banking-redis-exporter:9121",job="redis-exporter",le="66.0"} 372
redis_commands_latencies_usec_bucket{cmd="client|setname",instance="banking-redis-exporter:9121",job="redis-exporter",le="8.0"} 111
redis_commands_latencies_usec_bucket{cmd="info",instance="banking-redis-exporter:9121",job="redis-exporter",le="4227.0"} 950
redis_commands_latencies_usec_bucket{cmd="keys",instance="banking-redis-exporter:9121",job="redis-exporter",le="8.0"} 2645
redis_commands_latencies_usec_bucket{cmd="setex",instance="banking-redis-exporter:9121",job="redis-exporter",le="264.0"} 43
redis_commands_latencies_usec_bucket{cmd="client|setname",instance="banking-redis-exporter:9121",job="redis-exporter",le="66.0"} 348
redis_commands_latencies_usec_bucket{cmd="slowlog|get",instance="banking-redis-exporter:9121",job="redis-exporter",le="66.0"} 370
redis_commands_latencies_usec_bucket{cmd="get",instance="banking-redis-exporter:9121",job="redis-exporter",le="264.0"} 1125
redis_commands_latencies_usec_bucket{cmd="slowlog|len",instance="banking-redis-exporter:9121",job="redis-exporter",le="132.0"} 377
redis_commands_latencies_usec_bucket{cmd="slowlog|len",instance="banking-redis-exporter:9121",job="redis-exporter",le="8.0"} 73
redis_commands_latencies_usec_bucket{cmd="latency|histogram",instance="banking-redis-exporter:9121",job="redis-exporter",le="1056.0"} 378
redis_commands_latencies_usec_bucket{cmd="slowlog|get",instance="banking-redis-exporter:9121",job="redis-exporter",le="132.0"} 378
redis_commands_latencies_usec_bucket{cmd="keys",instance="banking-redis-exporter:9121",job="redis-exporter",le="264.0"} 3266
redis_commands_latencies_usec_bucket{cmd="client|setname",instance="banking-redis-exporter:9121",job="redis-exporter",le="2.0"} 24
redis_commands_latencies_usec_bucket{cmd="latency|latest",instance="banking-redis-exporter:9121",job="redis-exporter",le="8.0"} 60
redis_commands_latencies_usec_bucket{cmd="latency|latest",instance="banking-redis-exporter:9121",job="redis-exporter",le="4.0"} 11
redis_commands_latencies_usec_bucket{cmd="slowlog|get",instance="banking-redis-exporter:9121",job="redis-exporter",le="4.0"} 34
redis_commands_latencies_usec_bucket{cmd="slowlog|len",instance="banking-redis-exporter:9121",job="redis-exporter",le="4.0"} 14
redis_commands_latencies_usec_bucket{cmd="client|setname",instance="banking-redis-exporter:9121",job="redis-exporter",le="1.0"} 1
redis_commands_latencies_usec_bucket{cmd="info",instance="banking-redis-exporter:9121",job="redis-exporter",le="132.0"} 379
redis_commands_latencies_usec_bucket{cmd="setex",instance="banking-redis-exporter:9121",job="redis-exporter",le="66.0"} 39
redis_commands_latencies_usec_bucket{cmd="keys",instance="banking-redis-exporter:9121",job="redis-exporter",le="528.0"} 3274
redis_commands_latencies_usec_bucket{cmd="ping",instance="banking-redis-exporter:9121",job="redis-exporter",le="4.0"} 185
redis_commands_latencies_usec_bucket{cmd="scan",instance="banking-redis-exporter:9121",job="redis-exporter",le="8.0"} 758
redis_commands_latencies_usec_bucket{cmd="setex",instance="banking-redis-exporter:9121",job="redis-exporter",le="528.0"} 45
redis_commands_latencies_usec_bucket{cmd="slowlog|get",instance="banking-redis-exporter:9121",job="redis-exporter",le="1.0"} 4
redis_commands_latencies_usec_bucket{cmd="keys",instance="banking-redis-exporter:9121",job="redis-exporter",le="1056.0"} 3276
redis_commands_latencies_usec_bucket{cmd="client|setname",instance="banking-redis-exporter:9121",job="redis-exporter",le="1056.0"} 382
redis_commands_latencies_usec_bucket{cmd="latency|latest",instance="banking-redis-exporter:9121",job="redis-exporter",le="132.0"} 375
redis_commands_latencies_usec_bucket{cmd="config|get",instance="banking-redis-exporter:9121",job="redis-exporter",le="4227.0"} 381
redis_commands_latencies_usec_bucket{cmd="info",instance="banking-redis-exporter:9121",job="redis-exporter",le="33816.0"} 952
redis_commands_latencies_usec_bucket{cmd="latency|latest",instance="banking-redis-exporter:9121",job="redis-exporter",le="1056.0"} 382
redis_commands_latencies_usec_bucket{cmd="get",instance="banking-redis-exporter:9121",job="redis-exporter",le="2.0"} 4
redis_commands_latencies_usec_bucket{cmd="setex",instance="banking-redis-exporter:9121",job="redis-exporter",le="16.0"} 2
redis_commands_latencies_usec_bucket{cmd="client|setname",instance="banking-redis-exporter:9121",job="redis-exporter",le="264.0"} 377
redis_commands_latencies_usec_bucket{cmd="latency|latest",instance="banking-redis-exporter:9121",job="redis-exporter",le="528.0"} 381
redis_commands_latencies_usec_bucket{cmd="keys",instance="banking-redis-exporter:9121",job="redis-exporter",le="2113.0"} 3277
redis_commands_latencies_usec_bucket{cmd="info",instance="banking-redis-exporter:9121",job="redis-exporter",le="8454.0"} 951
redis_commands_latencies_usec_bucket{cmd="latency|histogram",instance="banking-redis-exporter:9121",job="redis-exporter",le="2113.0"} 380
redis_commands_latencies_usec_bucket{cmd="ping",instance="banking-redis-exporter:9121",job="redis-exporter",le="528.0"} 581
redis_commands_latencies_usec_bucket{cmd="setex",instance="banking-redis-exporter:9121",job="redis-exporter",le="132.0"} 41
redis_commands_latencies_usec_bucket{cmd="slowlog|len",instance="banking-redis-exporter:9121",job="redis-exporter",le="2.0"} 8
redis_commands_latencies_usec_bucket{cmd="get",instance="banking-redis-exporter:9121",job="redis-exporter",le="2113.0"} 1143
redis_commands_latencies_usec_bucket{cmd="latency|latest",instance="banking-redis-exporter:9121",job="redis-exporter",le="1.0"} 2
redis_commands_latencies_usec_bucket{cmd="slowlog|get",instance="banking-redis-exporter:9121",job="redis-exporter",le="1056.0"} 381
redis_commands_latencies_usec_bucket{cmd="config|get",instance="banking-redis-exporter:9121",job="redis-exporter",le="16908.0"} 382
redis_commands_latencies_usec_bucket{cmd="latency|histogram",instance="banking-redis-exporter:9121",job="redis-exporter",le="4227.0"} 381

## redis_commands_latencies_usec_count
redis_commands_latencies_usec_count{cmd="client|setname",instance="banking-redis-exporter:9121",job="redis-exporter"} 382
redis_commands_latencies_usec_count{cmd="config|get",instance="banking-redis-exporter:9121",job="redis-exporter"} 382
redis_commands_latencies_usec_count{cmd="info",instance="banking-redis-exporter:9121",job="redis-exporter"} 952
redis_commands_latencies_usec_count{cmd="latency|latest",instance="banking-redis-exporter:9121",job="redis-exporter"} 382
redis_commands_latencies_usec_count{cmd="ping",instance="banking-redis-exporter:9121",job="redis-exporter"} 581
redis_commands_latencies_usec_count{cmd="latency|histogram",instance="banking-redis-exporter:9121",job="redis-exporter"} 381
redis_commands_latencies_usec_count{cmd="slowlog|get",instance="banking-redis-exporter:9121",job="redis-exporter"} 381
redis_commands_latencies_usec_count{cmd="slowlog|len",instance="banking-redis-exporter:9121",job="redis-exporter"} 381
redis_commands_latencies_usec_count{cmd="scan",instance="banking-redis-exporter:9121",job="redis-exporter"} 950
redis_commands_latencies_usec_count{cmd="keys",instance="banking-redis-exporter:9121",job="redis-exporter"} 3277
redis_commands_latencies_usec_count{cmd="get",instance="banking-redis-exporter:9121",job="redis-exporter"} 1143
redis_commands_latencies_usec_count{cmd="setex",instance="banking-redis-exporter:9121",job="redis-exporter"} 45

## redis_commands_latencies_usec_sum
redis_commands_latencies_usec_sum{cmd="client|setname",instance="banking-redis-exporter:9121",job="redis-exporter"} 12217
redis_commands_latencies_usec_sum{cmd="config|get",instance="banking-redis-exporter:9121",job="redis-exporter"} 200611
redis_commands_latencies_usec_sum{cmd="info",instance="banking-redis-exporter:9121",job="redis-exporter"} 361637
redis_commands_latencies_usec_sum{cmd="latency|latest",instance="banking-redis-exporter:9121",job="redis-exporter"} 8040
redis_commands_latencies_usec_sum{cmd="ping",instance="banking-redis-exporter:9121",job="redis-exporter"} 13029
redis_commands_latencies_usec_sum{cmd="latency|histogram",instance="banking-redis-exporter:9121",job="redis-exporter"} 103762
redis_commands_latencies_usec_sum{cmd="slowlog|get",instance="banking-redis-exporter:9121",job="redis-exporter"} 6976
redis_commands_latencies_usec_sum{cmd="slowlog|len",instance="banking-redis-exporter:9121",job="redis-exporter"} 6236
redis_commands_latencies_usec_sum{cmd="scan",instance="banking-redis-exporter:9121",job="redis-exporter"} 8356
redis_commands_latencies_usec_sum{cmd="keys",instance="banking-redis-exporter:9121",job="redis-exporter"} 31668
redis_commands_latencies_usec_sum{cmd="get",instance="banking-redis-exporter:9121",job="redis-exporter"} 49340
redis_commands_latencies_usec_sum{cmd="setex",instance="banking-redis-exporter:9121",job="redis-exporter"} 2655

## redis_commands_processed_total
redis_commands_processed_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 9235

## redis_commands_rejected_calls_total
redis_commands_rejected_calls_total{cmd="client|setname",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_commands_rejected_calls_total{cmd="config|get",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_commands_rejected_calls_total{cmd="ping",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_commands_rejected_calls_total{cmd="info",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_commands_rejected_calls_total{cmd="latency|histogram",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_commands_rejected_calls_total{cmd="latency|latest",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_commands_rejected_calls_total{cmd="slowlog|get",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_commands_rejected_calls_total{cmd="slowlog|len",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_commands_rejected_calls_total{cmd="scan",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_commands_rejected_calls_total{cmd="keys",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_commands_rejected_calls_total{cmd="get",instance="banking-redis-exporter:9121",job="redis-exporter"} 0
redis_commands_rejected_calls_total{cmd="setex",instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## redis_commands_total
redis_commands_total{cmd="client|setname",instance="banking-redis-exporter:9121",job="redis-exporter"} 382
redis_commands_total{cmd="config|get",instance="banking-redis-exporter:9121",job="redis-exporter"} 382
