# Metrics for redis-exporter
# Job: redis-exporter
# Category: cache
# Exported at: 2025-07-02T11:09:53.994813
# Total metrics: 675
# Unique metric types: 323

## go_cgo_go_to_c_calls_calls_total
go_gc_heap_frees_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="144.99999999999997"} 3031220
go_gc_heap_frees_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="320.99999999999994"} 3070822
go_gc_heap_frees_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="704.9999999999999"} 3082935
go_gc_heap_frees_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="1536.9999999999998"} 3090490
go_gc_heap_frees_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="3200.9999999999995"} 3094626
go_gc_heap_frees_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="6528.999999999999"} 3100444
go_gc_heap_frees_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="13568.999999999998"} 3103493
go_gc_heap_frees_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="27264.999999999996"} 3104625
go_gc_heap_frees_by_size_bytes_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="+Inf"} 3106023

## go_gc_heap_frees_by_size_bytes_count
go_gc_heap_frees_by_size_bytes_count{instance="banking-redis-exporter:9121",job="redis-exporter"} 3106023

## go_gc_heap_frees_by_size_bytes_sum
go_gc_heap_frees_by_size_bytes_sum{instance="banking-redis-exporter:9121",job="redis-exporter"} 464655576

## go_gc_heap_frees_bytes_total
go_gc_heap_frees_bytes_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 464655576

## go_gc_heap_frees_objects_total
go_gc_heap_frees_objects_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 3106023

## go_gc_heap_goal_bytes
go_gc_heap_goal_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 6391586

## go_gc_heap_live_bytes
go_gc_heap_live_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 3052400

## go_gc_heap_objects_objects
go_gc_heap_objects_objects{instance="banking-redis-exporter:9121",job="redis-exporter"} 10765

## go_gc_heap_tiny_allocs_objects_total
go_gc_heap_tiny_allocs_objects_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 445935

## go_gc_limiter_last_enabled_gc_cycle
go_gc_limiter_last_enabled_gc_cycle{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_gc_pauses_seconds_bucket
go_gc_pauses_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="6.399999999999999e-08"} 0
go_gc_pauses_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="6.399999999999999e-07"} 0
go_gc_pauses_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="7.167999999999999e-06"} 17
go_gc_pauses_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="8.191999999999999e-05"} 210
go_gc_pauses_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="0.0009175039999999999"} 486
go_gc_pauses_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="0.010485759999999998"} 658
go_gc_pauses_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="0.11744051199999998"} 658
go_gc_pauses_seconds_bucket{instance="banking-redis-exporter:9121",job="redis-exporter",le="+Inf"} 658

## go_gc_pauses_seconds_count
go_gc_pauses_seconds_count{instance="banking-redis-exporter:9121",job="redis-exporter"} 658

## go_gc_pauses_seconds_sum
go_gc_pauses_seconds_sum{instance="banking-redis-exporter:9121",job="redis-exporter"} 0.181814912

## go_gc_scan_globals_bytes
go_gc_scan_globals_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 269570

## go_gc_scan_heap_bytes
go_gc_scan_heap_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 1473768

## go_gc_scan_stack_bytes
go_gc_scan_stack_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 17216

## go_gc_scan_total_bytes
go_gc_scan_total_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 1760554

## go_gc_stack_starting_size_bytes
go_gc_stack_starting_size_bytes{instance="banking-redis-exporter:9121",job="redis-exporter"} 2048

## go_godebug_non_default_behavior_asynctimerchan_events_total
go_godebug_non_default_behavior_asynctimerchan_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_execerrdot_events_total
go_godebug_non_default_behavior_execerrdot_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_gocachehash_events_total
go_godebug_non_default_behavior_gocachehash_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_gocachetest_events_total
go_godebug_non_default_behavior_gocachetest_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_gocacheverify_events_total
go_godebug_non_default_behavior_gocacheverify_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_gotestjsonbuildtext_events_total
go_godebug_non_default_behavior_gotestjsonbuildtext_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_gotypesalias_events_total
go_godebug_non_default_behavior_gotypesalias_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_http2client_events_total
go_godebug_non_default_behavior_http2client_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_http2server_events_total
go_godebug_non_default_behavior_http2server_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_httplaxcontentlength_events_total
go_godebug_non_default_behavior_httplaxcontentlength_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_httpmuxgo121_events_total
go_godebug_non_default_behavior_httpmuxgo121_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_httpservecontentkeepheaders_events_total
go_godebug_non_default_behavior_httpservecontentkeepheaders_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_installgoroot_events_total
go_godebug_non_default_behavior_installgoroot_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_multipartmaxheaders_events_total
go_godebug_non_default_behavior_multipartmaxheaders_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_multipartmaxparts_events_total
go_godebug_non_default_behavior_multipartmaxparts_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_multipathtcp_events_total
go_godebug_non_default_behavior_multipathtcp_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 1

## go_godebug_non_default_behavior_netedns0_events_total
go_godebug_non_default_behavior_netedns0_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_panicnil_events_total
go_godebug_non_default_behavior_panicnil_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_randautoseed_events_total
go_godebug_non_default_behavior_randautoseed_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_randseednop_events_total
go_godebug_non_default_behavior_randseednop_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_rsa1024min_events_total
go_godebug_non_default_behavior_rsa1024min_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_tarinsecurepath_events_total
go_godebug_non_default_behavior_tarinsecurepath_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_tls10server_events_total
go_godebug_non_default_behavior_tls10server_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_tls3des_events_total
go_godebug_non_default_behavior_tls3des_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_tlsmaxrsasize_events_total
go_godebug_non_default_behavior_tlsmaxrsasize_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_tlsrsakex_events_total
go_godebug_non_default_behavior_tlsrsakex_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_tlsunsafeekm_events_total
go_godebug_non_default_behavior_tlsunsafeekm_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_winreadlinkvolume_events_total
go_godebug_non_default_behavior_winreadlinkvolume_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_winsymlink_events_total
go_godebug_non_default_behavior_winsymlink_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_x509keypairleaf_events_total
go_godebug_non_default_behavior_x509keypairleaf_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_x509negativeserial_events_total
go_godebug_non_default_behavior_x509negativeserial_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_x509rsacrt_events_total
go_godebug_non_default_behavior_x509rsacrt_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_x509usefallbackroots_events_total
go_godebug_non_default_behavior_x509usefallbackroots_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_x509usepolicies_events_total
go_godebug_non_default_behavior_x509usepolicies_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_godebug_non_default_behavior_zipinsecurepath_events_total
go_godebug_non_default_behavior_zipinsecurepath_events_total{instance="banking-redis-exporter:9121",job="redis-exporter"} 0

## go_goroutines
go_goroutines{instance="banking-redis-exporter:9121",job="redis-exporter"} 8

## go_info
