# Metrics for banking-kafka
# Job: banking-kafka
# Category: messaging
# Exported at: 2025-07-02T11:09:54.024292
# Total metrics: 432
# Unique metric types: 63

## go_gc_duration_seconds
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="16",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="17",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="18",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="19",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="2",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="20",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="21",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="22",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="23",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="24",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="25",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="26",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="27",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="28",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="29",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="3",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="30",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="31",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="32",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="33",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="34",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="35",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="36",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="37",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="38",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="39",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="4",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="40",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="41",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="42",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="43",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="44",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="45",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="46",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="47",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="48",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="49",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="5",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="6",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="7",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="8",topic="__consumer_offsets"} 1
kafka_topic_partition_leader_is_preferred{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="9",topic="__consumer_offsets"} 1

## kafka_topic_partition_oldest_offset
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="0",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="0",topic="audit-logs"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="0",topic="transaction-events"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="1",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="10",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="11",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="12",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="13",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="14",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="15",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="16",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="17",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="18",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="19",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="2",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="20",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="21",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="22",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="23",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="24",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="25",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="26",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="27",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="28",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="29",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="3",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="30",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="31",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="32",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="33",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="34",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="35",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="36",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="37",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="38",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="39",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="4",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="40",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="41",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="42",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="43",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="44",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="45",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="46",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="47",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="48",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="49",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="5",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="6",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="7",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="8",topic="__consumer_offsets"} 0
kafka_topic_partition_oldest_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="9",topic="__consumer_offsets"} 0

## kafka_topic_partition_replicas
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="0",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="0",topic="audit-logs"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="0",topic="transaction-events"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="1",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="10",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="11",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="12",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="13",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="14",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="15",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="16",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="17",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="18",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="19",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="2",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="20",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="21",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="22",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="23",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="24",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="25",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="26",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="27",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="28",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="29",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="3",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="30",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="31",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="32",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="33",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="34",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="35",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="36",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="37",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="38",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="39",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="4",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="40",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="41",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="42",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="43",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="44",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="45",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="46",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="47",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="48",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="49",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="5",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="6",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="7",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="8",topic="__consumer_offsets"} 1
kafka_topic_partition_replicas{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="9",topic="__consumer_offsets"} 1

## kafka_topic_partition_under_replicated_partition
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="0",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="0",topic="audit-logs"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="0",topic="transaction-events"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="1",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="10",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="11",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="12",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="13",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="14",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="15",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="16",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="17",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="18",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="19",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="2",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="20",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="21",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="22",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="23",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="24",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="25",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="26",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="27",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="28",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="29",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="3",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="30",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="31",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="32",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="33",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="34",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="35",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="36",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="37",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="38",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="39",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="4",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="40",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="41",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="42",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="43",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="44",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="45",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="46",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="47",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="48",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="49",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="5",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="6",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="7",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="8",topic="__consumer_offsets"} 0
kafka_topic_partition_under_replicated_partition{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="9",topic="__consumer_offsets"} 0

## kafka_topic_partitions
kafka_topic_partitions{instance="banking-kafka-exporter:9308",job="banking-kafka",topic="__consumer_offsets"} 50
kafka_topic_partitions{instance="banking-kafka-exporter:9308",job="banking-kafka",topic="audit-logs"} 1
kafka_topic_partitions{instance="banking-kafka-exporter:9308",job="banking-kafka",topic="transaction-events"} 1

## process_cpu_seconds_total
process_cpu_seconds_total{instance="banking-kafka-exporter:9308",job="banking-kafka"} 14.97

## process_max_fds
process_max_fds{instance="banking-kafka-exporter:9308",job="banking-kafka"} 1048576

## process_network_receive_bytes_total
process_network_receive_bytes_total{instance="banking-kafka-exporter:9308",job="banking-kafka"} 6534941

## process_network_transmit_bytes_total
process_network_transmit_bytes_total{instance="banking-kafka-exporter:9308",job="banking-kafka"} 7433227

## process_open_fds
process_open_fds{instance="banking-kafka-exporter:9308",job="banking-kafka"} 9

## process_resident_memory_bytes
process_resident_memory_bytes{instance="banking-kafka-exporter:9308",job="banking-kafka"} 27709440

## process_start_time_seconds
process_start_time_seconds{instance="banking-kafka-exporter:9308",job="banking-kafka"} 1751429047.46

## process_virtual_memory_bytes
process_virtual_memory_bytes{instance="banking-kafka-exporter:9308",job="banking-kafka"} 1274109952

## process_virtual_memory_max_bytes
process_virtual_memory_max_bytes{instance="banking-kafka-exporter:9308",job="banking-kafka"} 18446744073709552000

## promhttp_metric_handler_requests_in_flight
promhttp_metric_handler_requests_in_flight{instance="banking-kafka-exporter:9308",job="banking-kafka"} 1

## promhttp_metric_handler_requests_total
promhttp_metric_handler_requests_total{code="200",instance="banking-kafka-exporter:9308",job="banking-kafka"} 382
promhttp_metric_handler_requests_total{code="500",instance="banking-kafka-exporter:9308",job="banking-kafka"} 0
promhttp_metric_handler_requests_total{code="503",instance="banking-kafka-exporter:9308",job="banking-kafka"} 0

## scrape_duration_seconds
scrape_duration_seconds{instance="banking-kafka-exporter:9308",job="banking-kafka"} 0.048308

## scrape_samples_post_metric_relabeling
scrape_samples_post_metric_relabeling{instance="banking-kafka-exporter:9308",job="banking-kafka"} 427

## scrape_samples_scraped
scrape_samples_scraped{instance="banking-kafka-exporter:9308",job="banking-kafka"} 427

## scrape_series_added
scrape_series_added{instance="banking-kafka-exporter:9308",job="banking-kafka"} 0

## up
