# Metrics for banking-kafka
# Job: banking-kafka
# Category: messaging
# Exported at: 2025-07-02T11:09:54.024292
# Total metrics: 432
# Unique metric types: 63

## go_gc_duration_seconds
## kafka_topic_partition_current_offset
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="0",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="0",topic="audit-logs"} 13001
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="0",topic="transaction-events"} 26315
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="1",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="10",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="11",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="12",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="13",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="14",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="15",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="16",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="17",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="18",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="19",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="2",topic="__consumer_offsets"} 0
kafka_topic_partition_current_offset{instance="banking-kafka-exporter:9308",job="banking-kafka",partition="20",topic="__consumer_offsets"} 0
