# Metrics for banking-rabbitmq
# Job: banking-rabbitmq
# Category: messaging
# Exported at: 2025-07-02T11:09:54.024823
# Total metrics: 1883
# Unique metric types: 203

## erlang_mnesia_committed_transactions
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 1
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 131072
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="sbcs",usage="carriers"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="sbcs",usage="carriers_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="sbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="2",job="banking-rabbitmq",kind="sbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="3",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 1
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="3",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 131072
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="3",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="3",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="3",job="banking-rabbitmq",kind="sbcs",usage="carriers"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="3",job="banking-rabbitmq",kind="sbcs",usage="carriers_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="3",job="banking-rabbitmq",kind="sbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="3",job="banking-rabbitmq",kind="sbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="4",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 1
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="4",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 131072
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="4",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="4",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="4",job="banking-rabbitmq",kind="sbcs",usage="carriers"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="4",job="banking-rabbitmq",kind="sbcs",usage="carriers_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="4",job="banking-rabbitmq",kind="sbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="4",job="banking-rabbitmq",kind="sbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="5",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 1
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="5",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 131072
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="5",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="5",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="5",job="banking-rabbitmq",kind="sbcs",usage="carriers"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="5",job="banking-rabbitmq",kind="sbcs",usage="carriers_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="5",job="banking-rabbitmq",kind="sbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="5",job="banking-rabbitmq",kind="sbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="6",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 1
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="6",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 131072
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="6",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="6",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="6",job="banking-rabbitmq",kind="sbcs",usage="carriers"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="6",job="banking-rabbitmq",kind="sbcs",usage="carriers_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="6",job="banking-rabbitmq",kind="sbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="6",job="banking-rabbitmq",kind="sbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="7",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 1
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="7",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 131072
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="7",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="7",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="7",job="banking-rabbitmq",kind="sbcs",usage="carriers"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="7",job="banking-rabbitmq",kind="sbcs",usage="carriers_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="7",job="banking-rabbitmq",kind="sbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="7",job="banking-rabbitmq",kind="sbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 1
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 131072
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="sbcs",usage="carriers"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="sbcs",usage="carriers_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="sbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="8",job="banking-rabbitmq",kind="sbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 1
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 131072
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="sbcs",usage="carriers"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="sbcs",usage="carriers_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="sbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="9",job="banking-rabbitmq",kind="sbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 1
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 131072
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="sbcs",usage="carriers"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="sbcs",usage="carriers_size"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="sbcs",usage="blocks"} 0
erlang_vm_allocators{alloc="temp_alloc",instance="banking-rabbitmq:15692",instance_no="10",job="banking-rabbitmq",kind="sbcs",usage="blocks_size"} 0
erlang_vm_allocators{alloc="sl_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="mbcs",usage="carriers"} 1
erlang_vm_allocators{alloc="sl_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="mbcs",usage="carriers_size"} 32768
erlang_vm_allocators{alloc="sl_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="mbcs",usage="blocks"} 5
erlang_vm_allocators{alloc="sl_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="mbcs",usage="blocks_size"} 512
erlang_vm_allocators{alloc="sl_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="sbcs",usage="carriers"} 0
erlang_vm_allocators{alloc="sl_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="sbcs",usage="carriers_size"} 0
erlang_vm_allocators{alloc="sl_alloc",instance="banking-rabbitmq:15692",instance_no="0",job="banking-rabbitmq",kind="sbcs",usage="blocks"} 0
